word	frequency	quantity
you	1.0	13072
to	0.519277845777	6788
me	0.410036719706	5360
my	0.337974296206	4418
that	0.280140758874	3662
your	0.250152998776	3270
on	0.219553243574	2870
of	0.209837821297	2743
all	0.205477356181	2686
be	0.19170746634	2506
we	0.189335985312	2475
can	0.16370869033	2140
for	0.161490208078	2111
so	0.159654222766	2087
know	0.144583843329	1890
with	0.143895348837	1881
love	0.140070379437	1831
this	0.139381884945	1822
no	0.137469400245	1797
but	0.135939412485	1777
up	0.135327417381	1769
like	0.133108935129	1740
what	0.125841493268	1645
just	0.120716034272	1578
if	0.115820073439	1514
when	0.113678090575	1486
do	0.104268665851	1363
got	0.103503671971	1353
get	0.102509179927	1340
oh	0.0952417380661	1245
now	0.0949357405141	1241
out	0.093482252142	1222
go	0.0929467564259	1215
she	0.0890452876377	1164
there	0.0868268053856	1135
let	0.0867503059976	1134
baby	0.0804008567931	1051
one	0.0802478580171	1049
down	0.078564871481	1027
time	0.078182374541	1022
come	0.0772643818849	1010
never	0.0761933904529	996
was	0.0758108935129	991
see	0.0723684210526	946
he	0.0712209302326	931
they	0.0703029375765	919
have	0.0694614443084	908
are	0.0683139534884	893
way	0.0679314565483	888
say	0.0667839657283	873
not	0.0651009791922	851
back	0.0650244798042	850
cause	0.062805997552	821
will	0.061888004896	809
yeah	0.0615055079559	804
from	0.0598225214198	782
make	0.0577570379437	755
need	0.0574510403917	751
take	0.0573745410037	750
gonna	0.0572980416157	749
ain	0.0569155446756	744
at	0.0568390452876	743
how	0.0566860465116	741
heart	0.0524020807834	685
want	0.0521725826193	682
here	0.0514075887393	672
been	0.0511780905753	669
more	0.0510250917993	667
as	0.0507190942472	663
her	0.0503365973072	658
girl	0.0501835985312	656
feel	0.0499541003672	653
wanna	0.0498011015912	651
tell	0.0497246022032	650
right	0.0490361077111	641
life	0.0478121175031	625
about	0.0449051407589	587
could	0.0444461444308	581
day	0.0438341493268	573
who	0.0430691554468	563
night	0.0417686658507	546
still	0.0405446756426	530
some	0.0404681762546	529
away	0.0402386780906	526
or	0.0400091799266	523
where	0.0398561811506	521
ya	0.0389381884945	509
give	0.0389381884945	509
world	0.0387851897185	507
our	0.0378671970624	495
keep	0.0377906976744	494
good	0.0375611995104	491
over	0.0369492044064	483
little	0.0367962056304	481
then	0.0366432068543	479
every	0.0348837209302	456
too	0.0346542227662	453
think	0.0343482252142	449
always	0.0340422276622	445
us	0.0339657282742	444